strategy,amount_mxn,horizon_days,rate_shock_bp,gross_interest_mxn,isr_withheld_mxn,net_return_mxn,effective_net_rate,exempt_eligible_balance_mxn,taxable_balance_mxn,fully_protected,needs_conditions,is_default_amount
A. All in Stori on demand (SOFIPO),100000,365,0,7250.0,0.0,7250.0,0.0725,100000,0.0,yes,no,no
B. All in Nu Cajita (bank),100000,365,0,6500.0,0.0,6500.0,0.065,100000,0.0,yes,no,no
C. All in CETES (GBM),100000,365,0,7240.0,900.0,6340.0,0.0634,0,100000.0,yes,no,no
D. All in best SOFIPO fixed term,100000,365,0,8690.0,0.0,8690.0,0.0869,100000,0.0,yes,no,no
"E. Split, protected products only",100000,365,0,14800.0,495.0,14305.0,0.14305,45000,55000.0,yes,yes,no
"F. Split, including Mercado Pago",100000,365,0,15000.0,720.0,14280.0,0.1428,20000,80000.0,no,yes,no
A. All in Stori on demand (SOFIPO),100000,365,50,6873.29,0.0,6873.29,0.06873,100000,0.0,yes,no,no
B. All in Nu Cajita (bank),100000,365,50,6123.29,0.0,6123.29,0.06123,100000,0.0,yes,no,no
C. All in CETES (GBM),100000,365,50,7240.0,900.0,6340.0,0.0634,0,100000.0,yes,no,no
D. All in best SOFIPO fixed term,100000,365,50,8690.0,0.0,8690.0,0.0869,100000,0.0,yes,no,no
"E. Split, protected products only",100000,365,50,14423.29,495.0,13928.29,0.13928,45000,55000.0,yes,yes,no
"F. Split, including Mercado Pago",100000,365,50,14623.29,720.0,13903.29,0.13903,20000,80000.0,no,yes,no
A. All in Stori on demand (SOFIPO),200000,30,0,1191.78,0.0,1191.78,0.0725,200000,0.0,yes,no,yes
B. All in Nu Cajita (bank),200000,30,0,1068.49,0.0,1068.49,0.065,200000,0.0,yes,no,yes
C. All in CETES (GBM),200000,30,0,1010.96,147.95,863.01,0.0525,0,200000.0,yes,no,yes
D. All in best SOFIPO fixed term,200000,30,0,1181.92,0.0,1181.92,0.0719,200000,0.0,yes,no,yes
"E. Split, protected products only",200000,30,0,2149.32,103.56,2045.75,0.12445,60000,140000.0,yes,yes,yes
"F. Split, including Mercado Pago",200000,30,0,2293.15,103.56,2189.59,0.1332,60000,140000.0,no,yes,yes
A. All in Stori on demand (SOFIPO),200000,30,50,1191.78,0.0,1191.78,0.0725,200000,0.0,yes,no,yes
B. All in Nu Cajita (bank),200000,30,50,1068.49,0.0,1068.49,0.065,200000,0.0,yes,no,yes
C. All in CETES (GBM),200000,30,50,1010.96,147.95,863.01,0.0525,0,200000.0,yes,no,yes
D. All in best SOFIPO fixed term,200000,30,50,1181.92,0.0,1181.92,0.0719,200000,0.0,yes,no,yes
"E. Split, protected products only",200000,30,50,2149.32,103.56,2045.75,0.12445,60000,140000.0,yes,yes,yes
"F. Split, including Mercado Pago",200000,30,50,2293.15,103.56,2189.59,0.1332,60000,140000.0,no,yes,yes
A. All in Stori on demand (SOFIPO),200000,90,0,3575.34,0.0,3575.34,0.0725,200000,0.0,yes,no,yes
B. All in Nu Cajita (bank),200000,90,0,3205.48,0.0,3205.48,0.065,200000,0.0,yes,no,yes
C. All in CETES (GBM),200000,90,0,3249.86,443.84,2806.03,0.0569,0,200000.0,yes,no,yes
D. All in best SOFIPO fixed term,200000,90,0,5424.66,0.0,5424.66,0.11,200000,0.0,yes,no,yes
"E. Split, protected products only",200000,90,0,6447.95,310.68,6137.26,0.12445,60000,140000.0,yes,yes,yes
"F. Split, including Mercado Pago",200000,90,0,6879.45,310.68,6568.77,0.1332,60000,140000.0,no,yes,yes
A. All in Stori on demand (SOFIPO),200000,90,50,3575.34,0.0,3575.34,0.0725,200000,0.0,yes,no,yes
B. All in Nu Cajita (bank),200000,90,50,3205.48,0.0,3205.48,0.065,200000,0.0,yes,no,yes
C. All in CETES (GBM),200000,90,50,3249.86,443.84,2806.03,0.0569,0,200000.0,yes,no,yes
D. All in best SOFIPO fixed term,200000,90,50,5424.66,0.0,5424.66,0.11,200000,0.0,yes,no,yes
"E. Split, protected products only",200000,90,50,6447.95,310.68,6137.26,0.12445,60000,140000.0,yes,yes,yes
"F. Split, including Mercado Pago",200000,90,50,6879.45,310.68,6568.77,0.1332,60000,140000.0,no,yes,yes
A. All in Stori on demand (SOFIPO),200000,180,0,7150.68,0.0,7150.68,0.0725,200000,0.0,yes,no,yes
B. All in Nu Cajita (bank),200000,180,0,6410.96,0.0,6410.96,0.065,200000,0.0,yes,no,yes
C. All in CETES (GBM),200000,180,0,6815.34,887.67,5927.67,0.0601,0,200000.0,yes,no,yes
D. All in best SOFIPO fixed term,200000,180,0,9863.01,0.0,9863.01,0.1,200000,0.0,yes,no,yes
"E. Split, protected products only",200000,180,0,12895.89,621.37,12274.52,0.12445,60000,140000.0,yes,yes,yes
"F. Split, including Mercado Pago",200000,180,0,13758.9,621.37,13137.53,0.1332,60000,140000.0,no,yes,yes
A. All in Stori on demand (SOFIPO),200000,180,50,6904.11,0.0,6904.11,0.07,200000,0.0,yes,no,yes
B. All in Nu Cajita (bank),200000,180,50,6164.38,0.0,6164.38,0.0625,200000,0.0,yes,no,yes
C. All in CETES (GBM),200000,180,50,6815.34,887.67,5927.67,0.0601,0,200000.0,yes,no,yes
D. All in best SOFIPO fixed term,200000,180,50,9863.01,0.0,9863.01,0.1,200000,0.0,yes,no,yes
"E. Split, protected products only",200000,180,50,12649.32,621.37,12027.95,0.12195,60000,140000.0,yes,yes,yes
"F. Split, including Mercado Pago",200000,180,50,13512.33,621.37,12890.96,0.1307,60000,140000.0,no,yes,yes
A. All in Stori on demand (SOFIPO),200000,365,0,14500.0,0.0,14500.0,0.0725,200000,0.0,yes,no,yes
B. All in Nu Cajita (bank),200000,365,0,13000.0,0.0,13000.0,0.065,200000,0.0,yes,no,yes
C. All in CETES (GBM),200000,365,0,14480.0,1800.0,12680.0,0.0634,0,200000.0,yes,no,yes
D. All in best SOFIPO fixed term,200000,365,0,17380.0,0.0,17380.0,0.0869,200000,0.0,yes,no,yes
"E. Split, protected products only",200000,365,0,26150.0,1260.0,24890.0,0.12445,60000,140000.0,yes,yes,yes
"F. Split, including Mercado Pago",200000,365,0,27900.0,1260.0,26640.0,0.1332,60000,140000.0,no,yes,yes
A. All in Stori on demand (SOFIPO),200000,365,50,13746.58,0.0,13746.58,0.06873,200000,0.0,yes,no,yes
B. All in Nu Cajita (bank),200000,365,50,12246.58,0.0,12246.58,0.06123,200000,0.0,yes,no,yes
C. All in CETES (GBM),200000,365,50,14480.0,1800.0,12680.0,0.0634,0,200000.0,yes,no,yes
D. All in best SOFIPO fixed term,200000,365,50,17380.0,0.0,17380.0,0.0869,200000,0.0,yes,no,yes
"E. Split, protected products only",200000,365,50,25396.58,1260.0,24136.58,0.12068,60000,140000.0,yes,yes,yes
"F. Split, including Mercado Pago",200000,365,50,27146.58,1260.0,25886.58,0.12943,60000,140000.0,no,yes,yes
A. All in Stori on demand (SOFIPO),300000,30,0,1787.67,63.64,1724.03,0.06992,300000,86026.8,no,no,no
B. All in Nu Cajita (bank),300000,30,0,1602.74,63.64,1539.1,0.06242,300000,86026.8,yes,no,no
C. All in CETES (GBM),300000,30,0,1516.44,221.92,1294.52,0.0525,0,300000.0,yes,no,no
D. All in best SOFIPO fixed term,300000,30,0,1772.88,63.64,1709.24,0.06932,300000,86026.8,no,no,no
"E. Split, protected products only",300000,30,0,2971.23,177.53,2793.7,0.1133,60000,240000.0,yes,yes,no
"F. Split, including Mercado Pago",300000,30,0,3115.07,177.53,2937.53,0.11913,60000,240000.0,no,yes,no
A. All in Stori on demand (SOFIPO),300000,30,50,1787.67,63.64,1724.03,0.06992,300000,86026.8,no,no,no
B. All in Nu Cajita (bank),300000,30,50,1602.74,63.64,1539.1,0.06242,300000,86026.8,yes,no,no
C. All in CETES (GBM),300000,30,50,1516.44,221.92,1294.52,0.0525,0,300000.0,yes,no,no
D. All in best SOFIPO fixed term,300000,30,50,1772.88,63.64,1709.24,0.06932,300000,86026.8,no,no,no
"E. Split, protected products only",300000,30,50,2971.23,177.53,2793.7,0.1133,60000,240000.0,yes,yes,no
"F. Split, including Mercado Pago",300000,30,50,3115.07,177.53,2937.53,0.11913,60000,240000.0,no,yes,no
A. All in Stori on demand (SOFIPO),300000,90,0,5363.01,190.91,5172.1,0.06992,300000,86026.8,no,no,no
B. All in Nu Cajita (bank),300000,90,0,4808.22,190.91,4617.31,0.06242,300000,86026.8,yes,no,no
C. All in CETES (GBM),300000,90,0,4874.79,665.75,4209.04,0.0569,0,300000.0,yes,no,no
D. All in best SOFIPO fixed term,300000,90,0,8136.99,190.91,7946.08,0.10742,300000,86026.8,no,no,no
"E. Split, protected products only",300000,90,0,8913.7,532.6,8381.1,0.1133,60000,240000.0,yes,yes,no
"F. Split, including Mercado Pago",300000,90,0,9345.21,532.6,8812.6,0.11913,60000,240000.0,no,yes,no
A. All in Stori on demand (SOFIPO),300000,90,50,5363.01,190.91,5172.1,0.06992,300000,86026.8,no,no,no
B. All in Nu Cajita (bank),300000,90,50,4808.22,190.91,4617.31,0.06242,300000,86026.8,yes,no,no
C. All in CETES (GBM),300000,90,50,4874.79,665.75,4209.04,0.0569,0,300000.0,yes,no,no
D. All in best SOFIPO fixed term,300000,90,50,8136.99,190.91,7946.08,0.10742,300000,86026.8,no,no,no
"E. Split, protected products only",300000,90,50,8913.7,532.6,8381.1,0.1133,60000,240000.0,yes,yes,no
