strategy,amount_mxn,horizon_days,rate_shock_bp,institution,type,product,term_days,rate_annual,allocated_mxn,gross_interest_mxn
"E. Split, protected products only",200000,365,50,Nu,Bank,Cajita Turbo,0,0.13,25000,3155.82
"E. Split, protected products only",200000,365,50,Openbank,Bank,Apartados Open,0,0.13,30000,3786.99
"E. Split, protected products only",200000,365,50,Mifel,Bank,Cuenta Digital,0,0.1,55000,5292.81
"F. Split, including Mercado Pago",200000,365,50,Revolut,Bank,Savings (on demand),0,0.15,25000,3655.82
"F. Split, including Mercado Pago",200000,365,50,Ualá,Bank,On demand (Plus),0,0.15,30000,4386.99
"F. Split, including Mercado Pago",200000,365,50,Mercado Pago,Fintech,Apartados with Meli+,0,0.15,25000,3655.82
"F. Split, including Mercado Pago",200000,365,50,DiDi,SOFIPO,On demand,0,0.15,10000,1462.33
"F. Split, including Mercado Pago",200000,365,50,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,3655.82
"F. Split, including Mercado Pago",200000,365,50,Nu,Bank,Cajita Turbo,0,0.13,25000,3155.82
"F. Split, including Mercado Pago",200000,365,50,Openbank,Bank,Apartados Open,0,0.13,30000,3786.99
"F. Split, including Mercado Pago",200000,365,50,Mercado Pago,Fintech,On demand (no Meli+),0,0.12,25000,2905.82
"F. Split, including Mercado Pago",200000,365,50,Mifel,Bank,Cuenta Digital,0,0.1,5000,481.16
A. All in Stori on demand (SOFIPO),300000,30,0,Stori,SOFIPO,On demand,0,0.0725,300000,1787.67
B. All in Nu Cajita (bank),300000,30,0,Nu,Bank,Cajita (on demand),0,0.065,300000,1602.74
C. All in CETES (GBM),300000,30,0,CETES (via GBM or Cetesdirecto),Government,CETES 28d,30,0.0615,300000,1516.44
D. All in best SOFIPO fixed term,300000,30,0,Finsus,SOFIPO,Fixed term 30d,30,0.0719,300000,1772.88
"E. Split, protected products only",300000,30,0,Revolut,Bank,Savings (on demand),0,0.15,25000,308.22
