amount_mxn,equity_share,equity_vehicle,spx_scenario,fx_scenario,savings_mxn,savings_net_mxn,equity_mxn,equity_net_mxn,total_net_mxn,total_net_return,is_default_amount
100000,0.1,S&P 500 via IVVPESO (peso hedged),Bull,n/a,90000.0,13005.0,10000.0,1907.53,14912.53,0.14913,no
100000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso +10% (USD/MXN -10%),75000.0,10755.0,25000.0,-5991.31,4763.69,0.04764,no
100000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso flat,75000.0,10755.0,25000.0,-3879.23,6875.77,0.06876,no
100000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso -10% (USD/MXN +10%),75000.0,10755.0,25000.0,-1767.15,8987.85,0.08988,no
100000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso +10% (USD/MXN -10%),75000.0,10755.0,25000.0,-2636.83,8118.17,0.08118,no
100000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso flat,75000.0,10755.0,25000.0,-152.04,10602.96,0.10603,no
100000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso -10% (USD/MXN +10%),75000.0,10755.0,25000.0,2099.48,12854.48,0.12854,no
100000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso +10% (USD/MXN -10%),75000.0,10755.0,25000.0,-847.78,9907.22,0.09907,no
100000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso flat,75000.0,10755.0,25000.0,1652.22,12407.22,0.12407,no
100000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso -10% (USD/MXN +10%),75000.0,10755.0,25000.0,4067.44,14822.44,0.14822,no
100000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso +10% (USD/MXN -10%),75000.0,10755.0,25000.0,1652.22,12407.22,0.12407,no
100000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso flat,75000.0,10755.0,25000.0,4335.8,15090.8,0.15091,no
100000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso -10% (USD/MXN +10%),75000.0,10755.0,25000.0,7019.38,17774.38,0.17774,no
100000,0.25,S&P 500 via IVVPESO (peso hedged),Bear,n/a,75000.0,10755.0,25000.0,-3358.08,7396.92,0.07397,no
100000,0.25,S&P 500 via IVVPESO (peso hedged),Flat,n/a,75000.0,10755.0,25000.0,316.77,11071.77,0.11072,no
100000,0.25,S&P 500 via IVVPESO (peso hedged),Base,n/a,75000.0,10755.0,25000.0,2097.59,12852.59,0.12853,no
100000,0.25,S&P 500 via IVVPESO (peso hedged),Bull,n/a,75000.0,10755.0,25000.0,4768.82,15523.82,0.15524,no
100000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso +10% (USD/MXN -10%),50000.0,7050.0,50000.0,-11982.62,-4932.62,-0.04933,no
100000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso flat,50000.0,7050.0,50000.0,-7758.46,-708.46,-0.00708,no
100000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso -10% (USD/MXN +10%),50000.0,7050.0,50000.0,-3534.31,3515.69,0.03516,no
100000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso +10% (USD/MXN -10%),50000.0,7050.0,50000.0,-5273.67,1776.33,0.01776,no
100000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso flat,50000.0,7050.0,50000.0,-304.07,6745.93,0.06746,no
100000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso -10% (USD/MXN +10%),50000.0,7050.0,50000.0,4198.97,11248.97,0.11249,no
100000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso +10% (USD/MXN -10%),50000.0,7050.0,50000.0,-1695.56,5354.44,0.05354,no
100000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso flat,50000.0,7050.0,50000.0,3304.44,10354.44,0.10354,no
100000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso -10% (USD/MXN +10%),50000.0,7050.0,50000.0,8134.88,15184.88,0.15185,no
100000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso +10% (USD/MXN -10%),50000.0,7050.0,50000.0,3304.44,10354.44,0.10354,no
100000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso flat,50000.0,7050.0,50000.0,8671.6,15721.6,0.15722,no
100000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso -10% (USD/MXN +10%),50000.0,7050.0,50000.0,14038.76,21088.76,0.21089,no
100000,0.5,S&P 500 via IVVPESO (peso hedged),Bear,n/a,50000.0,7050.0,50000.0,-6716.15,333.85,0.00334,no
100000,0.5,S&P 500 via IVVPESO (peso hedged),Flat,n/a,50000.0,7050.0,50000.0,633.54,7683.54,0.07684,no
100000,0.5,S&P 500 via IVVPESO (peso hedged),Base,n/a,50000.0,7050.0,50000.0,4195.19,11245.19,0.11245,no
100000,0.5,S&P 500 via IVVPESO (peso hedged),Bull,n/a,50000.0,7050.0,50000.0,9537.65,16587.65,0.16588,no
200000,0,Savings only,Bear,n/a,200000,24890.0,0,0.0,24890.0,0.12445,yes
200000,0,Savings only,Flat,n/a,200000,24890.0,0,0.0,24890.0,0.12445,yes
200000,0,Savings only,Base,n/a,200000,24890.0,0,0.0,24890.0,0.12445,yes
200000,0,Savings only,Bull,n/a,200000,24890.0,0,0.0,24890.0,0.12445,yes
200000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso +10% (USD/MXN -10%),180000.0,23070.0,20000.0,-4793.05,18276.95,0.09138,yes
